ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
1012,138,1,2025,9
1013,138,2,2025,19
1014,138,3,2025,22
1015,138,4,2025,13
1016,138,5,2025,14
1017,138,6,2025,15
1018,138,7,2025,15
1019,138,8,2025,13
1020,138,9,2025,16
1021,138,10,2025,16
1022,138,11,2025,15
1023,138,12,2025,7
1024,138,1,2026,12
1025,138,2,2026,13
1026,138,3,2026,17
1027,36,1,2024,9
1028,36,2,2024,18
1029,36,3,2024,21
1030,36,4,2024,24
1031,36,5,2024,26
1032,36,6,2024,26
1033,36,7,2024,18
1034,36,8,2024,15
1035,36,9,2024,26
1036,36,10,2024,26
1037,36,11,2024,23
1038,36,12,2024,7
1039,36,1,2025,9
1040,36,2,2025,18
1041,36,3,2025,21
1042,36,4,2025,0
1043,36,5,2025,0
1044,36,6,2025,0
1045,36,7,2025,0
1046,36,8,2025,0
1047,36,9,2025,0
1048,36,10,2025,0
1049,36,11,2025,0
1050,36,12,2025,0
1051,36,1,2026,0
1052,36,2,2026,0
1053,36,3,2026,0
1054,18,1,2024,9
1055,18,2,2024,18
1056,18,3,2024,21
1057,18,4,2024,24
1058,18,5,2024,26
1059,18,6,2024,26
1060,18,7,2024,18
1061,18,8,2024,14
1062,18,9,2024,26
1063,18,10,2024,26
1064,18,11,2024,22
1065,18,12,2024,7
1066,18,1,2025,9
1067,18,2,2025,18
1068,18,3,2025,21
1069,18,4,2025,0
1070,18,5,2025,0
1071,18,6,2025,0
1072,18,7,2025,0
1073,18,8,2025,0
1074,18,9,2025,0
1075,18,10,2025,0
1076,18,11,2025,0
1077,18,12,2025,0
1078,18,1,2026,0
1079,18,2,2026,0
1080,18,3,2026,0
1081,130,1,2024,9
1082,130,2,2024,18
1083,130,3,2024,21
1084,130,4,2024,24
1085,130,5,2024,25
1086,130,6,2024,25
1087,130,7,2024,18
1088,130,8,2024,14
1089,130,9,2024,25
1090,130,10,2024,25
1091,130,11,2024,22
1092,130,12,2024,7
1093,130,1,2025,9
1094,130,2,2025,18
1095,130,3,2025,21
1096,130,4,2025,15
1097,130,5,2025,16
1098,130,6,2025,17
1099,130,7,2025,17
1100,130,8,2025,14
1101,130,9,2025,19
1102,130,10,2025,18
1103,130,11,2025,17
1104,130,12,2025,8
1105,130,1,2026,14
1106,130,2,2026,15
1107,130,3,2026,20
1108,134,1,2024,9
1109,134,2,2024,17
1110,134,3,2024,21
1111,134,4,2024,24
1112,134,5,2024,25
1113,134,6,2024,25
1114,134,7,2024,17
1115,134,8,2024,14
1116,134,9,2024,25
1117,134,10,2024,25
1118,134,11,2024,22
1119,134,12,2024,7
1120,134,1,2025,9
1121,134,2,2025,17
1122,134,3,2025,21
1123,134,4,2025,12
1124,134,5,2025,14
1125,134,6,2025,14
1126,134,7,2025,14
1127,134,8,2025,12
1128,134,9,2025,16
1129,134,10,2025,15
1130,134,11,2025,15
1131,134,12,2025,7
1132,134,1,2026,11
1133,134,2,2026,13
1134,134,3,2026,16
1135,133,1,2024,8
1136,133,2,2024,16
1137,133,3,2024,19
1138,133,4,2024,22
1139,133,5,2024,24
1140,133,6,2024,24
1141,133,7,2024,16
1142,133,8,2024,13
1143,133,9,2024,24
